"candidate_id","question","proposed_reference_answer","required_key_facts","document_id","physical_pages","exact_source_span","answerable","proposed_split","review_status","review_notes","reviewer","reviewed_at_utc"
"candidate-001","Sabancı Üniversitesinin en yüksek karar organı hangisidir?","Mütevelli Heyettir.","[""Mütevelli Heyet en yüksek karar organıdır.""]","sabanci-ana-yonetmeligi","[2]","Mütevelli Heyet, en yüksek karar organıdır","true","dev","approved","","berksankir","2026-09-02T08:04:35Z"
"candidate-006","TGY'de sonbahar ve ilkbahar dönemlerinin her biri kaç haftadır?","Her biri on altı haftadır.","[""Sonbahar dönemi 16 haftadır."",""İlkbahar dönemi 16 haftadır.""]","temel-gelistirme-yili-egitim-ogretim-yonetmeligi","[2]","her biri on altı haftalık sonbahar ve ilkbahar dönemlerinden \noluşur.","true","dev","approved","","berksankir","2026-09-02T08:04:45Z"
"candidate-010","Lisans programında bir akademik yılın sonbahar ve ilkbahar dönemleri kaçar haftadır?","Her iki dönem de on dört haftadır.","[""Sonbahar ve ilkbahar dönemleri 14'er haftadır.""]","lisans-egitim-ogretim-yonetmeligi","[2]","Bir akademik yıl, her biri ondört haftalık sonbahar ve ilkbahar dönemlerinden oluşur.","true","dev","approved","","berksankir","2026-09-02T08:04:55Z"
"candidate-016","Lisansüstü programlarda öğrenim dili nedir?","Öğrenim dili İngilizcedir; Akademik Kurulun onayladığı dersler Türkçe sunulabilir.","[""Ana dil İngilizcedir."",""Onaylı dersler Türkçe sunulabilir.""]","lisansustu-egitim-ogretim-yonetmeligi","[1]","Üniversitede öğrenim dili İngilizcedir, ancak Akademik Kurul \ntarafından onaylanan dersler Türkçe olarak sunulur.","true","dev","approved","","berksankir","2026-09-02T08:05:05Z"
"candidate-017","Lisansüstü akademik yılda sonbahar ve ilkbahar dönemleri en az kaçar haftadır?","Her biri en az 14 haftadır.","[""Her dönem en az 14 haftadır.""]","lisansustu-egitim-ogretim-yonetmeligi","[2]","Bir akademik yıl, her biri en az 14 haftalık sonbahar ve ilkbahar \ndönemlerinden oluşur.","true","test","approved","","berksankir","2026-09-02T08:05:15Z"
"candidate-023","Nanotanı Merkezinin araştırma ve teknoloji geliştirme amaçları arasında hangi tanı ürünü yer alır?","Hastalıklar için yeni jenerasyon tanı kitleri.","[""Yeni jenerasyon tanı kitleri geliştirilmesi amaçlanır.""]","nanotani-fonksiyonel-yuzey-arayuzeyler-merkezi-yonetmeligi","[1]","Hastalıklar için yeni jenerasyon tanı kitleri geliştirilmesi","true","dev","approved","","berksankir","2026-09-02T08:05:25Z"
"candidate-026","Toplumsal Cinsiyet ve Kadın Çalışmaları Merkezinin farkındalık amaçlı faaliyetleri nelerdir?","Toplumsal cinsiyet eşitliği konusunda farkındalık ve duyarlılığı artırmak için eğitim ve bilinç artırıcı faaliyetlerde bulunur.","[""Farkındalık ve duyarlılık artırma."",""Eğitim ve bilinç artırıcı faaliyetler.""]","toplumsal-cinsiyet-kadin-calismalari-merkezi-yonetmeligi","[1]","toplumsal cinsiyet eşitliği konusunda farkındalığı ve duyarlılığı arttırmak için eğitim ve bilinç arttırıcı \nfaaliyetlerde bulunmak","true","dev","approved","","berksankir","2026-09-02T08:05:35Z"
"candidate-029","Veri Analitiği Merkezinin temel bilimsel ve teknolojik amacı nedir?","Veri analitiği alanında ileri düzey bilimsel araştırmalar yapmak ve teknoloji geliştirmektir.","[""İleri düzey bilimsel araştırma."",""Teknoloji geliştirme.""]","veri-analitigi-merkezi-yonetmeligi","[1]","Veri analitiği alanında ileri düzeyde bilimsel araştırmalar yapmak ve teknoloji geliştirmek","true","dev","approved","","berksankir","2026-09-02T08:05:45Z"
"candidate-032","Tümleştirilmiş Üretim Teknolojileri Merkezinin araştırma ve teknoloji geliştirme alanlarından üçü nedir?","İleri kompozit malzemeler, eklemeli imalat ve üç boyutlu basım bu alanlar arasındadır.","[""İleri kompozit malzemeler."",""Eklemeli imalat."",""Üç boyutlu basım.""]","tumlesik-uretim-teknolojileri-merkezi-yonetmeligi","[1]","kompozit malzemeler, polimer işleme süreçleri, nano ve makro üretim, eklemeli imalat ve üç boyutlu \nbasım alanlarında ileri düzeyde bilimsel araştırmalar yapmak ve teknoloji geliştirmek","true","test","approved","","berksankir","2026-09-02T08:05:55Z"
"candidate-035","İhale komisyonunda ihale konusu işin uzmanı olmak şartıyla en az kaç kişi yer alır?","En az iki kişi yer alır.","[""En az iki uzman katılır.""]","sabanci-ihale-yonetmeligi","[2]","ihale konusu işin uzmanı\nolmak şartıyla en az iki kişinin katılmasıyla kurulacak komisyonları görevlendirir.","true","dev","approved","","berksankir","2026-09-02T08:06:05Z"
