candidate_id,question,proposed_reference_answer,required_key_facts,document_id,physical_pages,exact_source_span,answerable,proposed_split,review_status,review_notes,reviewer,reviewed_at_utc
candidate-001,Sabancı Üniversitesinin en yüksek karar organı hangisidir?,Mütevelli Heyettir.,"[""Mütevelli Heyet en yüksek karar organıdır.""]",sabanci-ana-yonetmeligi,[2],"Mütevelli Heyet, en yüksek karar organıdır",true,dev,pending,,,
candidate-002,Mütevelli Heyet en fazla kaç üyeden oluşur?,En fazla on bir üyeden oluşur.,"[""Azami üye sayısı on birdir.""]",sabanci-ana-yonetmeligi,[2],en fazla on bir üyeden oluşur.,true,test,pending,,,
candidate-003,Mütevelli Heyet bir yılda en az kaç defa toplanır?,Yılda en az dört defa toplanır.,"[""Asgari toplantı sayısı yılda dörttür.""]",sabanci-ana-yonetmeligi,[3],Mütevelli Heyet yılda en az dört defa toplanır.,true,test,pending,,,
candidate-004,"Öğrencilerden alınacak ücretlerin miktarını, ödeme şeklini ve zamanını hangi organ belirler?",Mütevelli Heyet belirler.,"[""Bu yetki Mütevelli Heyetin görevleri arasındadır.""]",sabanci-ana-yonetmeligi,[3],"Öğrencilerden alınacak ücretlerin miktarını, ödeme şekil ve zamanını belirlemek.",true,test,pending,,,
candidate-005,Genel Sekreterin atanması ve görevden alınması nasıl karara bağlanır?,Rektörün önerisi ve Mütevelli Heyetin kararı ile olur.,"[""Rektör öneride bulunur."",""Mütevelli Heyet karar verir.""]",sabanci-ana-yonetmeligi,[5],Genel Sekreterin atanması ve görevden alınması Rektörün önerisi ve Mütevelli Heyetin \nkararı ile olur.,true,test,pending,,,
candidate-006,TGY'de sonbahar ve ilkbahar dönemlerinin her biri kaç haftadır?,Her biri on altı haftadır.,"[""Sonbahar dönemi 16 haftadır."",""İlkbahar dönemi 16 haftadır.""]",temel-gelistirme-yili-egitim-ogretim-yonetmeligi,[2],her biri on altı haftalık sonbahar ve ilkbahar dönemlerinden \noluşur.,true,dev,pending,,,
candidate-007,ELAE sonuçları ne kadar süre geçerlidir?,İki yıl süreyle geçerlidir.,"[""Geçerlilik süresi iki yıldır.""]",temel-gelistirme-yili-egitim-ogretim-yonetmeligi,[2],ELAE sonuçları iki yıl süresince geçerlidir.,true,test,pending,,,
candidate-008,TGY'de sunulan derslerin kredi durumu nedir?,TGY'de sunulan dersler kredisizdir.,"[""TGY dersleri kredisizdir.""]",temel-gelistirme-yili-egitim-ogretim-yonetmeligi,[4],TGY’de sunulan dersler kredisizdir.,true,test,pending,,,
candidate-009,TGY'de NA notu hangi durumda verilir ve nasıl işlem görür?,Derse devam yükümlülüğünü yerine getirmeyen veya ELAE'ye girmeyen öğrenciye verilir; U ya da UL notu gibi işlem görür.,"[""Devamsızlık veya ELAE'ye girmeme NA nedenidir."",""NA, U veya UL gibi işlem görür.""]",temel-gelistirme-yili-egitim-ogretim-yonetmeligi,[5],"NA notu; derse devam yükümlülüklerini yerine getirmeyen veya ELAE’ye girmeyen \nöğrencilere verilir. NA notu, U notu veya UL notu gibi işlem görür.",true,test,pending,,,
candidate-010,Lisans programında bir akademik yılın sonbahar ve ilkbahar dönemleri kaçar haftadır?,Her iki dönem de on dört haftadır.,"[""Sonbahar ve ilkbahar dönemleri 14'er haftadır.""]",lisans-egitim-ogretim-yonetmeligi,[2],"Bir akademik yıl, her biri ondört haftalık sonbahar ve ilkbahar dönemlerinden oluşur.",true,dev,pending,,,
candidate-011,Lisans eğitiminde öğrenim dili nedir ve Türkçe ders verilebilir mi?,Öğrenim dili İngilizcedir; Akademik Kurulun onayladığı dersler Türkçe verilebilir.,"[""Ana öğrenim dili İngilizcedir."",""Akademik Kurul onayıyla dersler Türkçe verilebilir.""]",lisans-egitim-ogretim-yonetmeligi,[2],"SÜ’de öğrenim dili İngilizce’dir, ancak Akademik Kurul tarafından onaylanan dersler \nTürkçe olarak verilir.",true,test,pending,,,
candidate-012,Ön koşulu bulunan bir lisans dersini alabilmek için hangi koşul sağlanmalıdır?,Ön koşul dersi başarılmış olmalı veya dersi veren öğretim üyesi onay vermelidir.,"[""Ön koşul dersini başarma veya öğretim üyesi onayı gerekir.""]",lisans-egitim-ogretim-yonetmeligi,[5],Ön koşulu bulunan bir \ndersin alınabilmesi için ön koşul dersinin başarılmış olması ya da dersi veren öğretim üyesinin onayı \ngerekir.,true,test,pending,,,
candidate-013,Lisans derslerinde not ortalamasına dâhil edilen ve edilmeyen dersler için en az geçer notlar nelerdir?,"Ortalamaya dâhil edilen derslerde D, edilmeyen derslerde S'dir.","[""Ortalamaya dâhil dersler için D."",""Ortalamaya dâhil olmayan dersler için S.""]",lisans-egitim-ogretim-yonetmeligi,[6],"Not ortalamasına dâhil \nedilen dersler için en az geçer not “D”, not ortalamasına dahil edilmeyen dersler için ise “S”’dir.",true,test,pending,,,
candidate-014,Bir lisans öğrencisi anadalına ek olarak en fazla kaç çift anadal programına kaydolabilir?,En fazla bir ek diploma programına kaydolabilir.,"[""Ek çift anadal programı sayısı en fazla birdir.""]",lisans-egitim-ogretim-yonetmeligi,[10],en fazla bir diploma programına daha kayıt yaptırabilirler.,true,test,pending,,,
candidate-015,Lisans öğrencisi izin başvurusunu en geç ne zaman ve nereye yapar?,Derslerin başlamasını izleyen dördüncü haftanın son iş gününe kadar ilgili fakülte dekanlığına yapar.,"[""Son tarih dördüncü haftanın son iş günüdür."",""Başvuru yeri ilgili fakülte dekanlığıdır.""]",lisans-egitim-ogretim-yonetmeligi,[12],"derslerin başlamasını takip eden 4 üncü haftanın son iş gününe kadar, ilgili fakülte \ndekanlığına başvurur.",true,test,pending,,,
candidate-016,Lisansüstü programlarda öğrenim dili nedir?,Öğrenim dili İngilizcedir; Akademik Kurulun onayladığı dersler Türkçe sunulabilir.,"[""Ana dil İngilizcedir."",""Onaylı dersler Türkçe sunulabilir.""]",lisansustu-egitim-ogretim-yonetmeligi,[1],"Üniversitede öğrenim dili İngilizcedir, ancak Akademik Kurul \ntarafından onaylanan dersler Türkçe olarak sunulur.",true,dev,pending,,,
candidate-017,Lisansüstü akademik yılda sonbahar ve ilkbahar dönemleri en az kaçar haftadır?,Her biri en az 14 haftadır.,"[""Her dönem en az 14 haftadır.""]",lisansustu-egitim-ogretim-yonetmeligi,[2],"Bir akademik yıl, her biri en az 14 haftalık sonbahar ve ilkbahar \ndönemlerinden oluşur.",true,test,pending,,,
